,grupo_indexador,b1,b2,b3,b4,l1,l2,data_referencia
0,IPCA,0.0572075954,-0.0384892102,0.0634180459,-0.0267230404,3.5869046355,0.4761055543,2021-12-31
1,PREFIXADOS,0.1140107882,-0.033671269,0.139130013,-0.0894496515,1.8682587235,0.8723084818,2021-12-31
0,IPCA,0.0570497135,-0.0381577134,0.0575870161,-0.0232701259,3.5617254942,0.4695571231,2022-01-03
1,PREFIXADOS,0.1151103971,-0.0329321801,0.1263401452,-0.0785340612,1.9189048687,0.914467978,2022-01-03
0,IPCA,0.0572514406,-0.0405765241,0.0650722487,-0.022781386,3.1236775932,0.4446664481,2022-01-04
1,PREFIXADOS,0.1165546545,-0.0349936715,0.1297438107,-0.0737844457,1.8682351217,0.9160194989,2022-01-04
0,IPCA,0.0574937781,-0.0406889421,0.0611149137,-0.0190194957,3.0947479505,0.4209720825,2022-01-05
1,PREFIXADOS,0.1162543619,-0.0326405258,0.118319904,-0.0628379441,1.8341687603,0.8891237815,2022-01-05
0,IPCA,0.0578482829,-0.0383514175,0.0555659503,-0.0170226834,3.1358940934,0.4491251565,2022-01-06
1,PREFIXADOS,0.1160050458,-0.029725253,0.1044509173,-0.0544102157,1.7897837461,0.8381673085,2022-01-06
0,IPCA,0.0584861473,-0.0377626086,0.0580136314,-0.0180445105,2.9636202145,0.4487190078,2022-01-07
1,PREFIXADOS,0.117412495,-0.0289935428,0.0897438787,-0.0458077111,1.7447288104,0.69923543,2022-01-07
0,IPCA,0.0591884943,-0.0397833925,0.0561413121,-0.0199849379,2.8154628721,0.472306081,2022-01-10
1,PREFIXADOS,0.1190086932,-0.0303827364,0.0922416705,-0.0495356477,1.7334362778,0.6850978897,2022-01-10
0,IPCA,0.0594061243,-0.0519875987,0.0736575546,-0.0199865159,3.1142781821,0.5669965464,2022-01-11
1,PREFIXADOS,0.1195948924,-0.0297316451,0.0870098432,-0.0475654168,1.7220382344,0.6866781969,2022-01-11
