,vertice_du,taxa_prefixadas,taxa_ipca,taxa_implicita,data_referencia
0,252,11.7969,5.7548,5.7133,2021-12-31
1,378,11.5203,5.5512,5.6551,2021-12-31
2,504,11.1559,5.3708,5.4902,2021-12-31
3,630,10.8794,5.2483,5.3503,2021-12-31
4,756,10.7092,5.1704,5.2665,2021-12-31
5,882,10.6222,5.1235,5.2307,2021-12-31
6,1008,10.5912,5.0981,5.2266,2021-12-31
7,1134,10.5948,5.0879,5.2402,2021-12-31
8,1260,10.6181,5.0882,5.2621,2021-12-31
9,1386,10.6516,5.0958,5.2864,2021-12-31
10,1512,10.6894,5.1084,5.3097,2021-12-31
11,1638,10.7281,5.1243,5.3306,2021-12-31
12,1764,10.7657,5.1422,5.3484,2021-12-31
13,1890,10.8013,5.1612,5.3632,2021-12-31
14,2016,10.8344,5.1808,5.3751,2021-12-31
15,2142,10.8648,5.2004,5.3843,2021-12-31
16,2268,,5.2197,,2021-12-31
17,2394,,5.2385,,2021-12-31
18,2520,,5.2566,,2021-12-31
19,2646,,5.274,,2021-12-31
20,2772,,5.2905,,2021-12-31
21,2898,,5.3063,,2021-12-31
22,3024,,5.3213,,2021-12-31
23,3150,,5.3354,,2021-12-31
24,3276,,5.3488,,2021-12-31
25,3402,,5.3614,,2021-12-31
26,3528,,5.3734,,2021-12-31
27,3654,,5.3846,,2021-12-31
28,3780,,5.3953,,2021-12-31
29,3906,,5.4053,,2021-12-31
30,4032,,5.4148,,2021-12-31
31,4158,,5.4238,,2021-12-31
32,4284,,5.4323,,2021-12-31
33,4410,,5.4404,,2021-12-31
34,4536,,5.4481,,2021-12-31
35,4662,,5.4553,,2021-12-31
36,4788,,5.4622,,2021-12-31
37,4914,,5.4688,,2021-12-31
38,5040,,5.475,,2021-12-31
39,5166,,5.481,,2021-12-31
40,5292,,5.4867,,2021-12-31
41,5418,,5.4921,,2021-12-31
42,5544,,5.4973,,2021-12-31
43,5670,,5.5022,,2021-12-31
44,5796,,5.5069,,2021-12-31
45,5922,,5.5115,,2021-12-31
46,6048,,5.5158,,2021-12-31
47,6174,,5.52,,2021-12-31
48,6300,,5.524,,2021-12-31
49,6426,,5.5279,,2021-12-31
50,6552,,5.5316,,2021-12-31
51,6678,,5.5351,,2021-12-31
52,6804,,5.5386,,2021-12-31
53,6930,,5.5419,,2021-12-31
54,7056,,5.5451,,2021-12-31
55,7182,,5.5482,,2021-12-31
56,7308,,5.5511,,2021-12-31
57,7434,,5.554,,2021-12-31
58,7560,,5.5568,,2021-12-31
59,7686,,5.5595,,2021-12-31
60,7812,,5.5621,,2021-12-31
61,7938,,5.5646,,2021-12-31
62,8064,,5.567,,2021-12-31
63,8190,,5.5694,,2021-12-31
64,8316,,5.5717,,2021-12-31
0,252,11.8107,5.6695,5.8117,2022-01-03
1,378,11.5826,5.5196,5.7458,2022-01-03
2,504,11.277,5.3735,5.6024,2022-01-03
3,630,11.0501,5.2723,5.4884,2022-01-03
4,756,10.9154,5.2074,5.4254,2022-01-03
5,882,10.851,5.1684,5.4033,2022-01-03
6,1008,10.8324,5.1474,5.4066,2022-01-03
7,1134,10.8412,5.1393,5.4231,2022-01-03
8,1260,10.8649,5.14,5.445,2022-01-03
9,1386,10.8958,5.147,5.4673,2022-01-03
10,1512,10.9293,5.1583,5.4879,2022-01-03
11,1638,10.9627,5.1724,5.5055,2022-01-03
12,1764,10.9946,5.1883,5.5199,2022-01-03
13,1890,11.0244,5.2052,5.5312,2022-01-03
14,2016,11.0519,5.2225,5.54,2022-01-03
15,2142,11.0771,5.2398,5.5466,2022-01-03
16,2268,,5.2569,,2022-01-03
17,2394,,5.2736,,2022-01-03
18,2520,,5.2897,,2022-01-03
19,2646,,5.3051,,2022-01-03
20,2772,,5.3199,,2022-01-03
21,2898,,5.3339,,2022-01-03
22,3024,,5.3472,,2022-01-03
23,3150,,5.3598,,2022-01-03
24,3276,,5.3717,,2022-01-03
25,3402,,5.383,,2022-01-03
26,3528,,5.3936,,2022-01-03
27,3654,,5.4037,,2022-01-03
28,3780,,5.4132,,2022-01-03
29,3906,,5.4222,,2022-01-03
30,4032,,5.4307,,2022-01-03
31,4158,,5.4388,,2022-01-03
32,4284,,5.4464,,2022-01-03
33,4410,,5.4536,,2022-01-03
34,4536,,5.4605,,2022-01-03
35,4662,,5.467,,2022-01-03
36,4788,,5.4731,,2022-01-03
37,4914,,5.479,,2022-01-03
38,5040,,5.4846,,2022-01-03
39,5166,,5.49,,2022-01-03
40,5292,,5.495,,2022-01-03
41,5418,,5.4999,,2022-01-03
42,5544,,5.5045,,2022-01-03
43,5670,,5.509,,2022-01-03
44,5796,,5.5132,,2022-01-03
45,5922,,5.5173,,2022-01-03
46,6048,,5.5212,,2022-01-03
47,6174,,5.5249,,2022-01-03
48,6300,,5.5285,,2022-01-03
49,6426,,5.532,,2022-01-03
50,6552,,5.5353,,2022-01-03
51,6678,,5.5385,,2022-01-03
52,6804,,5.5416,,2022-01-03
53,6930,,5.5446,,2022-01-03
54,7056,,5.5474,,2022-01-03
55,7182,,5.5502,,2022-01-03
56,7308,,5.5528,,2022-01-03
57,7434,,5.5554,,2022-01-03
58,7560,,5.5579,,2022-01-03
59,7686,,5.5603,,2022-01-03
60,7812,,5.5627,,2022-01-03
61,7938,,5.5649,,2022-01-03
62,8064,,5.5671,,2022-01-03
63,8190,,5.5692,,2022-01-03
64,8316,,5.5713,,2022-01-03
0,252,12.0609,5.8098,5.9078,2022-01-04
1,378,11.9008,5.6898,5.8766,2022-01-04
2,504,11.62,5.531,5.7698,2022-01-04
3,630,11.395,5.4105,5.6773,2022-01-04
4,756,11.2516,5.3281,5.6238,2022-01-04
5,882,11.1744,5.2744,5.6044,2022-01-04
6,1008,11.1422,5.2413,5.607,2022-01-04
7,1134,11.1379,5.2228,5.6215,2022-01-04
8,1260,11.1497,5.2148,5.6407,2022-01-04
9,1386,11.1699,5.2143,5.6604,2022-01-04
10,1512,11.1938,5.2193,5.6781,2022-01-04
11,1638,11.2187,5.2279,5.6931,2022-01-04
12,1764,11.2432,5.2391,5.7051,2022-01-04
13,1890,11.2664,5.252,5.7142,2022-01-04
14,2016,11.288,5.2659,5.7208,2022-01-04
15,2142,11.3079,5.2804,5.7251,2022-01-04
16,2268,,5.295,,2022-01-04
17,2394,,5.3096,,2022-01-04
18,2520,,5.3239,,2022-01-04
19,2646,,5.3378,,2022-01-04
20,2772,,5.3512,,2022-01-04
21,2898,,5.3642,,2022-01-04
22,3024,,5.3765,,2022-01-04
23,3150,,5.3883,,2022-01-04
24,3276,,5.3996,,2022-01-04
25,3402,,5.4103,,2022-01-04
26,3528,,5.4204,,2022-01-04
27,3654,,5.43,,2022-01-04
28,3780,,5.4391,,2022-01-04
29,3906,,5.4478,,2022-01-04
30,4032,,5.456,,2022-01-04
31,4158,,5.4638,,2022-01-04
32,4284,,5.4712,,2022-01-04
33,4410,,5.4782,,2022-01-04
34,4536,,5.4849,,2022-01-04
35,4662,,5.4912,,2022-01-04
36,4788,,5.4973,,2022-01-04
37,4914,,5.503,,2022-01-04
38,5040,,5.5085,,2022-01-04
39,5166,,5.5137,,2022-01-04
40,5292,,5.5187,,2022-01-04
41,5418,,5.5235,,2022-01-04
42,5544,,5.528,,2022-01-04
43,5670,,5.5324,,2022-01-04
44,5796,,5.5365,,2022-01-04
45,5922,,5.5405,,2022-01-04
46,6048,,5.5444,,2022-01-04
47,6174,,5.548,,2022-01-04
48,6300,,5.5516,,2022-01-04
49,6426,,5.555,,2022-01-04
50,6552,,5.5582,,2022-01-04
51,6678,,5.5614,,2022-01-04
52,6804,,5.5644,,2022-01-04
53,6930,,5.5673,,2022-01-04
54,7056,,5.5701,,2022-01-04
55,7182,,5.5729,,2022-01-04
56,7308,,5.5755,,2022-01-04
57,7434,,5.578,,2022-01-04
58,7560,,5.5805,,2022-01-04
59,7686,,5.5828,,2022-01-04
60,7812,,5.5851,,2022-01-04
61,7938,,5.5873,,2022-01-04
62,8064,,5.5895,,2022-01-04
63,8190,,5.5916,,2022-01-04
64,8316,,5.5936,,2022-01-04
0,252,12.0805,5.7988,5.9374,2022-01-05
1,378,11.971,5.7275,5.9052,2022-01-05
2,504,11.7243,5.6,5.7995,2022-01-05
3,630,11.5139,5.4982,5.7021,2022-01-05
4,756,11.372,5.4266,5.6393,2022-01-05
5,882,11.2889,5.3785,5.6087,2022-01-05
6,1008,11.2476,5.3476,5.6005,2022-01-05
7,1134,11.2333,5.3291,5.6054,2022-01-05
8,1260,11.2351,5.3196,5.6167,2022-01-05
9,1386,11.2461,5.3168,5.6299,2022-01-05
10,1512,11.2618,5.3187,5.6429,2022-01-05
11,1638,11.2795,5.3241,5.6543,2022-01-05
12,1764,11.2975,5.3319,5.6636,2022-01-05
13,1890,11.3151,5.3415,5.6706,2022-01-05
14,2016,11.3317,5.3521,5.6758,2022-01-05
15,2142,11.3472,5.3634,5.6792,2022-01-05
16,2268,,5.3751,,2022-01-05
17,2394,,5.3868,,2022-01-05
18,2520,,5.3985,,2022-01-05
19,2646,,5.41,,2022-01-05
20,2772,,5.4211,,2022-01-05
21,2898,,5.432,,2022-01-05
22,3024,,5.4424,,2022-01-05
23,3150,,5.4524,,2022-01-05
24,3276,,5.462,,2022-01-05
25,3402,,5.4712,,2022-01-05
26,3528,,5.4799,,2022-01-05
27,3654,,5.4882,,2022-01-05
28,3780,,5.4961,,2022-01-05
29,3906,,5.5036,,2022-01-05
30,4032,,5.5108,,2022-01-05
31,4158,,5.5176,,2022-01-05
32,4284,,5.5241,,2022-01-05
33,4410,,5.5302,,2022-01-05
34,4536,,5.5361,,2022-01-05
35,4662,,5.5417,,2022-01-05
36,4788,,5.547,,2022-01-05
37,4914,,5.5521,,2022-01-05
38,5040,,5.5569,,2022-01-05
39,5166,,5.5615,,2022-01-05
40,5292,,5.5659,,2022-01-05
41,5418,,5.5701,,2022-01-05
42,5544,,5.5742,,2022-01-05
43,5670,,5.578,,2022-01-05
44,5796,,5.5817,,2022-01-05
45,5922,,5.5853,,2022-01-05
46,6048,,5.5887,,2022-01-05
47,6174,,5.5919,,2022-01-05
48,6300,,5.5951,,2022-01-05
49,6426,,5.5981,,2022-01-05
50,6552,,5.601,,2022-01-05
51,6678,,5.6038,,2022-01-05
52,6804,,5.6065,,2022-01-05
53,6930,,5.6091,,2022-01-05
54,7056,,5.6116,,2022-01-05
55,7182,,5.614,,2022-01-05
56,7308,,5.6163,,2022-01-05
57,7434,,5.6186,,2022-01-05
58,7560,,5.6207,,2022-01-05
59,7686,,5.6228,,2022-01-05
60,7812,,5.6249,,2022-01-05
