,data_referencia,tipo_titulo,codigo_selic,data_vencimento,taxa_intradiaria,pu,tipo_pu
0,2022-01-03,NTN-B,760199,2022-08-15,5.694,3868.405519,OBSERVADO
1,2022-01-03,NTN-B,760100,2023-03-15,5.7015,3856.382444,MODELADO
2,2022-01-03,NTN-B,760199,2023-05-15,5.6715,3823.938267,OBSERVADO
3,2022-01-03,NTN-B,760199,2024-08-15,5.2689,3928.045107,OBSERVADO
4,2022-01-03,NTN-B,760199,2025-05-15,5.2019,3898.319715,OBSERVADO
5,2022-01-03,NTN-B,760199,2026-08-15,5.1222,3993.745322,OBSERVADO
6,2022-01-03,NTN-B,760199,2028-08-15,5.1931,4028.795002,OBSERVADO
7,2022-01-03,NTN-B,760199,2030-08-15,5.2273,4061.84713,OBSERVADO
8,2022-01-03,NTN-B,760199,2035-05-15,5.2729,4067.5377,OBSERVADO
9,2022-01-03,NTN-B,760199,2040-08-15,5.3995,4126.780798,OBSERVADO
10,2022-01-03,NTN-B,760199,2045-05-15,5.5035,4054.532841,OBSERVADO
11,2022-01-03,NTN-B,760199,2050-08-15,5.4911,4141.020439,OBSERVADO
12,2022-01-03,NTN-B,760199,2055-05-15,5.4538,4125.810343,OBSERVADO
13,2022-01-03,NTN-F,950199,2023-01-01,11.9432,983.504226,OBSERVADO
14,2022-01-03,NTN-F,950199,2025-01-01,10.908,979.189524,OBSERVADO
15,2022-01-03,NTN-F,950199,2027-01-01,10.8922,968.928714,OBSERVADO
16,2022-01-03,NTN-F,950199,2029-01-01,10.9709,957.401393,OBSERVADO
17,2022-01-03,NTN-F,950199,2031-01-01,11.0007,948.237502,OBSERVADO
18,2022-01-03,LTN,100000,2022-04-01,10.3404,976.081188,OBSERVADO
19,2022-01-03,LTN,100000,2022-07-01,11.2921,948.71681,OBSERVADO
20,2022-01-03,LTN,100000,2022-10-01,11.7548,920.02655,OBSERVADO
21,2022-01-03,LTN,100000,2023-01-01,11.9067,894.000546,OBSERVADO
