,Vencimento,Emissor,Tipo,SELIC_ID
0,09/2022,Tesouro Nacional,LFT  ,21010020220901
1,03/2023,Tesouro Nacional,LFT  ,21010020230301
2,09/2023,Tesouro Nacional,LFT  ,21010020230901
3,03/2024,Tesouro Nacional,LFT  ,21010020240301
4,09/2024,Tesouro Nacional,LFT  ,21010020240901
5,03/2025,Tesouro Nacional,LFT  ,21010020250301
6,09/2025,Tesouro Nacional,LFT  ,21010020250901
7,03/2026,Tesouro Nacional,LFT  ,21010020260301
8,09/2026,Tesouro Nacional,LFT  ,21010020260901
9,03/2027,Tesouro Nacional,LFT  ,21010020270301
10,09/2027,Tesouro Nacional,LFT  ,21010020270901
11,03/2028,Tesouro Nacional,LFT  ,21010020280301
12,09/2028,Tesouro Nacional,LFT  ,21010020280901
13,04/2022,Tesouro Nacional,LTN  ,10000020220401
14,07/2022,Tesouro Nacional,LTN  ,10000020220701
15,10/2022,Tesouro Nacional,LTN  ,10000020221001
16,01/2023,Tesouro Nacional,LTN  ,10000020230101
17,04/2023,Tesouro Nacional,LTN  ,10000020230401
18,07/2023,Tesouro Nacional,LTN  ,10000020230701
19,01/2024,Tesouro Nacional,LTN  ,10000020240101
20,04/2024,Tesouro Nacional,LTN  ,10000020240401
21,07/2024,Tesouro Nacional,LTN  ,10000020240701
22,01/2025,Tesouro Nacional,LTN  ,10000020250101
23,07/2025,Tesouro Nacional,LTN  ,10000020250701
24,01/2026,Tesouro Nacional,LTN  ,10000020260101
25,08/2022,Tesouro Nacional,NTN-B,76019920220815
26,03/2023,Tesouro Nacional,NTN-B,76010020230315
27,05/2023,Tesouro Nacional,NTN-B,76019920230515
28,08/2024,Tesouro Nacional,NTN-B,76019920240815
29,05/2025,Tesouro Nacional,NTN-B,76019920250515
30,08/2026,Tesouro Nacional,NTN-B,76019920260815
31,05/2027,Tesouro Nacional,NTN-B,76019920270515
32,08/2028,Tesouro Nacional,NTN-B,76019920280815
33,08/2030,Tesouro Nacional,NTN-B,76019920300815
34,08/2032,Tesouro Nacional,NTN-B,76019920320815
35,05/2035,Tesouro Nacional,NTN-B,76019920350515
36,08/2040,Tesouro Nacional,NTN-B,76019920400815
37,05/2045,Tesouro Nacional,NTN-B,76019920450515
38,08/2050,Tesouro Nacional,NTN-B,76019920500815
39,05/2055,Tesouro Nacional,NTN-B,76019920550515
40,08/2060,Tesouro Nacional,NTN-B,76019920600815
41,08/2022,Tesouro Nacional,NTN-B Princ,76019820220815
42,05/2023,Tesouro Nacional,NTN-B Princ,76019820230515
43,08/2024,Tesouro Nacional,NTN-B Princ,76019820240815
44,08/2026,Tesouro Nacional,NTN-B Princ,76019820260815
45,08/2028,Tesouro Nacional,NTN-B Princ,76019820280815
46,08/2030,Tesouro Nacional,NTN-B Princ,76019820300815
47,05/2035,Tesouro Nacional,NTN-B Princ,76019820350515
48,05/2045,Tesouro Nacional,NTN-B Princ,76019820450515
49,08/2050,Tesouro Nacional,NTN-B Princ,76019820500815
50,01/2031,Tesouro Nacional,NTN-C,77010020310101
51,01/2023,Tesouro Nacional,NTN-F,95019920230101
52,01/2025,Tesouro Nacional,NTN-F,95019920250101
53,01/2027,Tesouro Nacional,NTN-F,95019920270101
54,01/2029,Tesouro Nacional,NTN-F,95019920290101
55,01/2031,Tesouro Nacional,NTN-F,95019920310101
56,01/2033,Tesouro Nacional,NTN-F,95019920330101
