,tipo_titulo,codigo_selic,index,tipo_correcao,data_validade,vna,data_referencia
0,NTN-B,760199,0.62,P,2021-12-24,3776.091413,2022-01-03
1,NTN-B,760100,0.62,P,2021-12-24,3776.091413,2022-01-03
2,NTN-C,770100,0.87,F,2021-12-29,5991.934474,2022-01-03
3,LFT,210100,9.15,O,2021-12-31,11236.698213,2022-01-03
0,NTN-B,760100,0.62,P,2021-12-24,3777.10631,2022-01-04
1,NTN-B,760199,0.62,P,2021-12-24,3777.10631,2022-01-04
2,NTN-C,770100,1.02,P,2022-01-04,5994.830799,2022-01-04
3,LFT,210100,9.15,O,2022-01-03,11240.602853,2022-01-04
0,NTN-B,760199,0.62,P,2021-12-24,3778.121479,2022-01-05
1,NTN-B,760100,0.62,P,2021-12-24,3778.121479,2022-01-05
2,NTN-C,770100,1.02,P,2022-01-04,5997.728524,2022-01-05
3,LFT,210100,9.15,O,2022-01-04,11244.50885,2022-01-05
0,NTN-B,760199,0.62,P,2021-12-24,3779.136922,2022-01-06
1,NTN-B,760100,0.62,P,2021-12-24,3779.136922,2022-01-06
2,NTN-C,770100,1.02,P,2022-01-04,6000.62765,2022-01-06
3,LFT,210100,9.15,O,2022-01-05,11248.416205,2022-01-06
0,NTN-B,760199,0.62,P,2021-12-24,3780.152637,2022-01-07
1,NTN-B,760100,0.62,P,2021-12-24,3780.152637,2022-01-07
2,NTN-C,770100,1.02,P,2022-01-04,6003.528177,2022-01-07
3,LFT,210100,9.15,O,2022-01-06,11252.324917,2022-01-07
0,NTN-B,760100,0.62,P,2021-12-24,3781.168625,2022-01-10
1,NTN-B,760199,0.62,P,2021-12-24,3781.168625,2022-01-10
2,NTN-C,770100,1.02,P,2022-01-04,6006.430106,2022-01-10
3,LFT,210100,9.15,O,2022-01-07,11256.234987,2022-01-10
0,NTN-B,760199,0.73,F,2022-01-11,3785.598944,2022-01-11
1,NTN-B,760100,0.73,F,2022-01-11,3785.598944,2022-01-11
2,NTN-C,770100,1.43,P,2022-01-11,6016.291788,2022-01-11
3,LFT,210100,9.15,O,2022-01-10,11260.146416,2022-01-11
0,NTN-B,760100,0.73,F,2022-01-11,3786.796217,2022-01-12
1,NTN-B,760199,0.73,F,2022-01-11,3786.796217,2022-01-12
2,NTN-C,770100,1.43,P,2022-01-11,6020.360956,2022-01-12
3,LFT,210100,9.15,O,2022-01-11,11264.059205,2022-01-12
0,NTN-B,760100,0.73,F,2022-01-11,3787.993868,2022-01-13
1,NTN-B,760199,0.73,F,2022-01-11,3787.993868,2022-01-13
2,NTN-C,770100,1.43,P,2022-01-11,6024.432876,2022-01-13
3,LFT,210100,9.15,O,2022-01-12,11267.973353,2022-01-13
0,NTN-B,760100,0.73,F,2022-01-11,3789.191899,2022-01-14
1,NTN-B,760199,0.73,F,2022-01-11,3789.191899,2022-01-14
2,NTN-C,770100,1.43,P,2022-01-11,6028.50755,2022-01-14
3,LFT,210100,9.15,O,2022-01-13,11271.888861,2022-01-14
0,NTN-B,760100,0.73,F,2022-01-11,3790.390308,2022-01-17
1,NTN-B,760199,0.73,F,2022-01-11,3790.390308,2022-01-17
2,NTN-C,770100,1.43,P,2022-01-11,6032.58498,2022-01-17
3,LFT,210100,9.15,O,2022-01-14,11275.805729,2022-01-17
